Id,Formula,Name,Melting_Pt,
384,C6Cl6 ,hexachlorobenzene,505.0,
385,C6ClF5 ,chloropentafluorobenzene,257.5,
386,C6F5NO2 ,pentafluoronitrobenzene,250.5,
387,C6F6 ,hexafluorobenzene,278.3,
388,C6HBr5O ,pentabromophenol,502.0,
389,C6HCl4NO2 ,"1,2,4,5-tetrachloro-3-nitrobenzene",373.3,
390,C6HCl5 ,pentachlorobenzene,357.7,
391,C6HCl5O ,pentachlorophenol,462.5,
392,C6HF5 ,pentafluorobenzene,225.7,
393,C6HF5O  ,pentafluorophenol,310.6,
394,C6H2Br4 ,"1,2,4,5-tetrabromobenzene",453.1,
395,C6H2Cl4 ,"1,2,3,4-tetrachlorobenzene",320.0,
396,C6H2Cl4 ,"1,2,3,5-tetrachlorobenzene",323.9,
397,C6H2Cl4 ,"1,2,4,5-tetrachlorobenzene",421.2,
398,C6H2Cl5N ,pentachloroaniline,505.8,
399,C6H2F4 ,"1,2,3,4-tetrafluorobenzene",233.3,
400,C6H2F4 ,"1,2,4,5-tetrafluorobenzene",277.0,
401,C6H2F4 ,"1,2,3,5-tetrafluorobenzene",226.9,
402,C6H2F5N ,pentafluoroaniline,306.8,
403,C6H3Br3O ,"2,4,6-tribromophenol",366.2,
404,C6H3BrCl2O ,"4-bromo-2,5-dichlorophenol",343.4,
405,C6H3Cl3 ,"1,3,5-trichlorobenzene",336.7,
406,C6H3Cl3 ,"1,2,3-trichlorobenzene",326.9,
407,C6H3Cl3O ,"2,4,5-trichlorophenol",340.3,
408,C6H3Cl4N ,2-chloro-6-(trichloromethyl)pyridine,337.8,
409,C6H3ClN2O4,"2,4-dinitrochlorobenzene",325.2,
410,C6H3ClN2O4,"2,6-dinitrochlorobenzene",361.2,
411,C6H3N3O6 ,"1,3,5-trinitrobenzene",380.3,
412,C6H3N3O7 ,picric acid,394.1,
413,C6H3N3O8 ,"2,4,6-trinitroresorcinol",454.8,
414,C6H4Br2 ,"1,3-dibromobenzene",266.3,
415,C6H4Br2 ,"1,2-dibromobenzene",275.0,
416,C6H4Br2 ,"1,4-dibromobenzene",360.1,
417,C6H4Br2O ,"2,4-dibromophenol",313.0,
418,C6H4BrCl ,"1,3-bromochlorobenzene",252.0,
419,C6H4BrCl ,"1,2-bromochlorobenzene",260.6,
420,C6H4BrCl ,"1,4-bromochlorobenzene",337.8,
421,C6H4BrI ,"1,3-bromoiodobenzene",282.5,
422,C6H4BrI ,"1,2-bromoiodobenzene",294.2,
423,C6H4BrI  ,"1,4-bromoiodobenzene",363.3,
424,C6H4Cl2 ,"1,3-dichlorobenzene",248.4,
425,C6H4Cl2 ,"1,2-dichlorobenzene",256.5,
426,C6H4Cl2  ,"1,4-dichlorobenzene",326.0,
427,C6H4Cl2N2O2 ,"2,6-dichloro-4-nitroaniline",466.8,
428,C6H4Cl2O ,"2,6-dichlorophenol",340.0,
429,C6H4Cl2O ,"3,5-dichlorophenol",341.0,
430,C6H4Cl2O ,"2,4-dichlorophenol",318.0,
431,C6H4Cl2O ,"2,3-dichlorophenol",330.0,
432,C6H4Cl2O ,"2,5-dichlorophenol",331.0,
433,C6H4Cl2O ,"3,4-dichlorophenol",341.0,
434,C6H4ClNO2 ,"1,2-chloronitrobenzene",308.2,
435,C6H4ClNO2 ,"1,3-nitrochlorobenzene",317.6,
436,C6H4ClNO2 ,"1,4-nitrochlorobenzene",354.6,
437,C6H4F2,"1,2-difluorobenzene",226.0,
438,C6H4F2   ,"1,3-difluorobenzene",204.0,
439,C6H4I2 ,"1,2-diiodobenzene",296.6,
440,C6H4I2 ,"1,3-diiodobenzene",307.4,
441,C6H4I2 ,"1,4-diiodobenzene",402.0,
442,C6H4N2O4 ,"1,4-dinitrobenzene   ",446.7,
